ts_code,demand_status,profit_pool_status,company_status,invalidation_status,demand_test,profit_pool_test,company_test,invalidation_test,evidence_date,evidence_source,next_review_date
688686.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,精密制造机器视觉需求恢复,核心部件利润池不被系统集成稀释,订单及自由现金流持续改善,制造业资本开支持续收缩,,,
300007.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,气体感知新场景需求增长,传感器器件利润高于低毛利方案,传感业务收入和自由现金流转强,业务混合且自由现金流持续为负,,,
688003.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,高精度在线测量需求增长,视觉测量环节保持价值量,项目回款和自由现金流改善,项目增长但现金流持续恶化,,,
600089.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,变压器需求增长,输变电业务而非资源周期获得利润,输变电现金利润和资本回报改善,资源价格掩盖设备业务恶化,,,
688396.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,MEMS和功率器件本土需求增长,制造环节产能利用率与利润改善,自由现金流覆盖资本开支,扩产后利用率和回报率持续下降,,,
688322.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,机器人三维感知需求形成规模,技术路线收敛且产品保有价值量,收入增长并接近正自由现金流,路线被替代或亏损持续扩大,,,
601766.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,轨交更新和骨干通道项目形成订单,整车与系统装备毛利率稳定,新签订单转化为经营现金流,订单增长但回款和资本回报持续恶化,,,
688187.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,轨交智能化与关键部件需求增长,控制系统和功率器件保持价值量,订单毛利与现金流同步兑现,份额或毛利率持续下降,,,
601669.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,国家水网重大项目形成有效订单,水网工程利润率不被低价竞争侵蚀,项目回款和自由现金流改善,应收和资本占用持续恶化,,,
600283.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,供水与水务运营需求稳定,水价与特许经营机制支持合理回报,运营现金流和分红持续,水价受限或特许资产回报下降,,,
600941.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,5G-A万兆光网和算力需求增长,运营网络保持合理资本回报,自由现金流和分红持续增长,资本开支上升但收入回报不足,,,
601728.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,通信与云算力需求增长,运营商服务保持合理回报,云算力收入和自由现金流改善,资本开支回报持续下降,,,
000063.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,运营商网络升级形成订单,网络设备份额和毛利率稳定,订单回款和自由现金流改善,出口限制或价格战侵蚀利润,,,
000977.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,全国算力网服务器需求增长,服务器厂商保持合理毛利和周转,收入增长并控制库存应收,库存和应收增速长期高于收入,,,
603019.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,东数西算与多层次算力设施形成订单,高性能计算环节维持价值量,订单转化为自由现金流,重复建设导致价格和利用率下降,,,
600118.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,卫星通信导航遥感项目形成订单,卫星制造环节获得合理利润,在手订单按期转化为现金流,项目延期或长期低资本回报,,,
600879.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,卫星组网带动航天电子需求,高可靠电子产品维持利润率,订单和回款同步增长,高估值下利润和现金流不兑现,,,
